,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Gender,Age,Personal_Income,Financial_Situation,Bill_Payments,Education,Credit_Debt,Additional_Income_Private_Investment,Additional_Income_Property,Additional_Income_Business_Ownership,Additional_Income_Retirement_Plan,Loss_Awareness,Loss_Intuition,Country,Duration_in_seconds,Language,Sample,Duration_Minutes,YoB,Awareness_of_Loss_Aversion,Financial_Stress,Presentation_Order
35,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,37,200000,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,1,0,0,0,0,,Bulgaria,447,Bulgarian,Direct,7.45,1982,2,,3|13|14|17|2|18|10|8|12|15|6|9|16|5|7|4|1|11
36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,40,5000,Has not changed,I paid everything and saved some,University MBA,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,354,Bulgarian,Direct,5.9,1979,3,,12|1|4|7|2|18|17|13|5|9|16|11|14|6|10|15|3|8
37,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,38,14000,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,685,Bulgarian,Direct,11.416666666666666,1981,1,,3|5|8|7|16|18|17|9|4|6|2|10|13|15|11|14|12|1
38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Male,29,15000,Has not changed,I paid everything but saved nothing,University MBA,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,628,Bulgarian,Direct,10.466666666666667,1990,1,,1|12|10|4|8|18|9|13|2|17|14|11|16|6|3|7|15|5
39,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,26,10000,Has not changed,I paid everything but saved nothing,University Masters,I make the minimum payment and the interest is charged,0,0,0,0,1,,Bulgaria,314,Bulgarian,Direct,5.233333333333333,1993,1,,13|14|11|10|4|18|5|1|16|3|7|12|2|8|6|9|17|15
40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Female,24,10000,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,404,Bulgarian,Direct,6.733333333333333,1995,1,,13|4|7|2|17|18|6|8|15|14|11|1|9|3|10|12|16|5
41,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,30,19000,Became a little better,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,1,0,0,0,1,,Bulgaria,379,Bulgarian,Direct,6.316666666666666,1989,1,,15|1|14|6|11|18|2|10|17|9|13|12|16|8|4|5|7|3
42,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,35,12000,Became a little worse,I paid everything but saved nothing,University Undergraduate,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,252,Bulgarian,Direct,4.2,1984,3,,6|7|16|5|11|18|2|17|9|14|15|12|10|1|13|8|3|4
43,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Male,26,25000,Became a little worse,I paid everything but saved nothing,University Undergraduate,My debts increase beyond what I earn in a given month,0,0,0,0,0,1.0,Bulgaria,451,Bulgarian,Direct,7.516666666666667,1993,3,,3|7|15|4|14|18|6|17|2|12|9|5|13|8|10|1|11|16
44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Male,32,40000,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,1,0,0,1.0,Bulgaria,527,Bulgarian,Direct,8.783333333333333,1987,3,,15|2|1|16|17|18|9|6|12|14|3|13|7|5|11|10|4|8
